LABEL-1,LABEL-3,LABEL-4,LABEL-5,LABEL-7
https://www.bankeebricks.ph/20738-home_default/lego-d2c-lego-icons-10391-over-the-moon-with-pharrell-williams-age-18-building-blocks-2024-966pcs-multicolor.jpg,"LEGO® D2C LEGO Icons 10391 Over the Moon with Pharrell Williams, Age 18+, Building Blocks, 2024 (966pcs)","PHP 7,999.00",3In Stock,"Embark on a fantastic journey with the LEGO® Icons Over the Moon with Pharrell Williams (10391) building project for adults. As a child, Pharrell's creative optimism and his surroundings at Atlantis Apartments fueled his curiosity and provided thelaunchpad that helped him build the future he wanted for himself, and others like him. The inspiring display..."
https://www.bankeebricks.ph/20724-home_default/lego-minifigures-71046-series-26-space-age-5-building-blocks-2024-9pcs-multicolor.jpg,"LEGO® Minifigures 71046 Series 26 Space, Age 5+, Building Blocks, 2024 (9pcs)",PHP 329.00,181In Stock,"Exciting adventures in space await kids aged 5 and up with 1 of 12 collectible figures from the LEGO® Minifigures Series 26 Space (71046) mystery boxes. These detailed space toys can be added to an existing collection, proudly displayed or used toplay out intergalactic action. There is 1 surprise LEGO space minifigure in each box and a total of 12..."
https://www.bankeebricks.ph/20704-home_default/product1.jpg,"LEGO® D2C Harry Potter 76437 The Burrow – Collectors' Edition, Age 18+, Building Blocks, 2025 (2405pcs)","PHP 17,499.00",6In Stock,"Add another magnificent display model to your Wizarding World with this LEGO® Harry Potter™ The Burrow – Collectors' Edition set (76437). A cool Harry Potter gift for adults, and fun for all the family, this is the ultimate LEGO brick-built recreation of the Weasleys' house. Use clever techniques to capture the house's rickety look, with its tilted floors..."
https://www.bankeebricks.ph/20677-home_default/lego-d2c-lego-ideas-21351-disney-tim-burtons-the-nightmare-before-christmas-age-18-building-blocks-2025-2193pcs-multicolor.jpg,"LEGO® D2C LEGO Ideas 21351 Disney Tim Burton's The Nightmare Before Christmas, Age 18+, Building Blocks, 2025 (2193pcs)","PHP 13,499.00",2In Stock,"Build nostalgia for a classic Tim Burton movie with the LEGO® Ideas Disney Tim Burton's The Nightmare Before Christmas diorama kit for adults (21351). A fun holiday gift idea for men, women and any fantasy-film-lovers or movie memorabilia collectors, the set features connectible models of 3 iconic Tim Burton's The Nightmare Before Christmas locations –..."
https://www.bankeebricks.ph/20684-home_default/lego-d2c-the-legend-of-zelda-77092-great-deku-tree-2-in-1-age-18-building-blocks-2027-2500pcs-multicolor.jpg,"LEGO® D2C The Legend of Zelda 77092 Great Deku Tree 2-in-1, Age 18+, Building Blocks, 2027 (2500pcs)","PHP 19,999.00",5In Stock,"Immerse yourself in creative joy as you build one of two detailed models of The Legend of Zelda™ Great Deku Tree 2-in-1 (77092) in this LEGO® Nintendo® gift set. The building set for adults makes a special display piece for yourself or any other fan with a passion for The Legend of Zelda series and merch. It includes curated items from the games, such as..."
https://www.bankeebricks.ph/20691-home_default/lego-lel-seasons-and-occasions-40744-christmas-ornament-selection-age-6-building-blocks-2034-153pcs-multicolor.jpg,"LEGO® LEL Seasons and Occasions 40744 Christmas Ornament Selection, Age 6+, Building Blocks, 2034 (153pcs)","PHP 1,099.00",25In Stock,"Unleash a flurry of creativity this holiday season with the LEGO® Christmas Ornament Selection (40744) building set for girls and boys aged 6 and up, which lets kids create 4 hanging decorations to treasure forever. Kids will love building the ornaments before decorating them with iconic Christmas motifs: a Christmas gift, Santa Claus, a reindeer and a..."
https://www.bankeebricks.ph/20661-home_default/product1.jpg,"LEGO® Technic 42177 Mercedes G500 4×4, Age 18+, Building Blocks, 2024 (2891pcs)","PHP 17,499.00",11In Stock,Commemorate the 45th anniversary of one of the world's best-loved off-roaders with this immersive LEGO® Technic™ Mercedes-Benz G 500 PROFESSIONAL Line model car building set for adults. This model car version of the iconic G-Class is packed with authentic features and cool functions to quicken the pulse of any Mercedes-Benz fan. Take your time assembling...
https://www.bankeebricks.ph/20669-home_default/lego-star-wars-75388-jedi-bob-s-starfighter-age-8-building-blocks-2024-305pcs-multicolor.jpg,"LEGO® Star Wars 75388 Jedi Bobs Starfighter, Age 8+, Building Blocks, 2024 (305pcs)","PHP 2,999.00",6In Stock,"Introduce kids to the mystery character from a 2002 LEGO® Star Wars™ set who became a fan favorite with Jedi Bob's Starfighter (75388). A cool birthday gift idea for boys, girls and any fan aged 8 and up, this LEGO Star Wars buildable toy set features a starfighter with an opening cockpit, 2 spring-loaded shooters and retractable landing gear. Play out..."
https://www.bankeebricks.ph/20653-home_default/lego-star-wars-75374-onyx-cinder-age-10-building-blocks-2024-1325pcs-multicolor.jpg,"LEGO® Star Wars 75374 Onyx Cinder, Age 10+, Building Blocks, 2024 (1325pcs)","PHP 10,999.00",8In Stock,"Kids become the heroes in their own Star Wars: Skeleton Crew stories with a detailed LEGO® brick recreation of The Onyx Cinder (75374). This collectible LEGO Star Wars™ buildable starship toy features rotating engines for landing/takeoff or flight, 2 stud shooters, 2 rotating turrets, each with 2 stud shooters, and a grabbing claw. It has seats for all 5..."
https://www.bankeebricks.ph/20609-home_default/5702017598239.jpg,"LEGO® LEL Iconic 40719 Traditional Chess Set, Age 9+, Building Blocks, 2024 (743pcs)","PHP 5,999.00",2In Stock,"Bond over board games with the LEGO® Traditional Chess Set (40719) for kids, a fun educational toy for boys and girls aged 9 and up. A fun version of the beloved family board game, this buildable chess set includes chess and checkers pieces, so budding strategists can enjoy two games in one. Intricate details include minifigure statues on the queen pieces..."
